deviceAddress,idDataUUID,idDataMajorId,idDataMinorId,beaconPeriod,outputPowerLevel,beaconMode,beaconMachines,openSensor,temperatureOffset,EddyStoneUID,EddyStoneURL,dateTimeProgrammed,FirmwareVersion,EM6819SerialNumber
000000000000,0x699EBC80E1F311E39A0F0CF3EE3BC012,0x005A,0x354D,0x0002BC,0x05,0x3F,0x03,0xCB,0x0000,0x699EBC80E19A0F0CF3EE050201EEF30E,https://www.emdeveloper.com,20160710T123829,454D0300,0x51125234435210
000000000000,0x699EBC80E1F311E39A0F0CF3EE3BC012,0x005A,0x354D,0x0002BC,0x05,0x3F,0x03,0xCB,0x0000,0x699EBC80E19A0F0CF3EE050201EEF30E,https://www.emdeveloper.com,20160710T125400,454D0300,0x51125234435210
000000000000,0x699EBC80E1F311E39A0F0CF3EE3BC012,0x005A,0x354D,0x0002BC,0x05,0x3F,0x03,0xCB,0x0000,0x699EBC80E19A0F0CF3EE050201EEF30E,https://www.emdeveloper.com,20160710T140654,454D0300,0x51125234435210
000000000000,0x699EBC80E1F311E39A0F0CF3EE3BC012,0x005A,0x354D,0x0002BC,0x05,0x3F,0x03,0xCB,0x0000,0x699EBC80E19A0F0CF3EE050201EEF30E,https://www.emdeveloper.com,20160710T141329,454D0300,0x51125234435210
000000000000,0x699EBC80E1F311E39A0F0CF3EE3BC012,0x005A,0x354D,0x0002BC,0x05,0x3F,0x03,0xCB,0x0000,0x699EBC80E19A0F0CF3EE050201EEF30E,https://www.emdeveloper.com,20160710T141416,454D0300,0x1F0B5234435210
